"state_abbrev","state_name","scenario_key","sustainability_index","sustainability_tier","sustainability_rank","sustainability_percentile","sustainability_band","demand_pressure_norm","demand_per_100k","supply_per_100k","margin_per_hour","revenue_per_hour","labor_cost_per_hour","wage_revenue_ratio","units_per_hour","scenario_notes","pt_comp_share_pct","non_pt_margin_share_pct"
"LA","Louisiana","high","0.3751570311557106644786","Sustainable","49","0.04","Bottom Quartile","1.22033898305084745914","109.59435519487028800000","89.80648550690759700000","50.2307911569970812824625","111.597783597037656475","61.3669924400405751925375","0.5498943658381899190927","4.75","High throughput: efficient ops, shorter transitions","54.9894365838189919092700","45.0105634161810080907300"
"LA","Louisiana","conservative","0.1556336379703321786556","At Risk","50","0.02","Bottom Quartile","1.22033898305084745914","109.59435519487028800000","89.80648550690759700000","26.7365209260417851824625","88.103513366082360375","61.3669924400405751925375","0.6965328633950405641841","3.75","Lower throughput: higher complexity/documentation, longer transitions","69.6532863395040564184100","30.3467136604959435815900"
"LA","Louisiana","baseline","0.2697082315499876170110","At Risk","50","0.02","Bottom Quartile","1.22033898305084745914","109.59435519487028800000","89.80648550690759700000","38.4836560415194332324625","99.850648481560008425","61.3669924400405751925375","0.6145878206426828507507","4.25","Typical OP PT clinic throughput baseline","61.4587820642682850750700","38.5412179357317149249300"
"MA","Massachusetts","conservative","0.4439810148097575632783","Sustainable","3","0.96","Top Quartile","0.86217948717948718152","114.08813117279347300000","132.32526738257086800000","55.575012040136277125","106.620825477262723500","51.045813437126446375","0.47876025353050892142","3.75","Lower throughput: higher complexity/documentation, longer transitions","47.87602535305089214200","52.12397464694910785800"
"MA","Massachusetts","high","0.6713096906185178978258","Sustainable","3","0.96","Top Quartile","0.86217948717948718152","114.08813117279347300000","132.32526738257086800000","84.007232167406336725","135.053045604532783100","51.045813437126446375","0.37796862120829651691","4.75","High throughput: efficient ops, shorter transitions","37.79686212082965169100","62.20313787917034830900"
"MA","Massachusetts","baseline","0.5606098124883204483346","Sustainable","3","0.96","Top Quartile","0.86217948717948718152","114.08813117279347300000","132.32526738257086800000","69.791122103771306925","120.836935540897753300","51.045813437126446375","0.42243551782103728360","4.25","Typical OP PT clinic throughput baseline","42.24355178210372836000","57.75644821789627164000"
"MD","Maryland","high","0.5876790736712346544622","Sustainable","17","0.68","Upper-Mid Quartile","0.97959183673469387644","108.30103238926098600000","110.55730389737059000000","74.709134215030346500","130.955226649984417625","56.246092434954071125","0.42950628145059045532","4.75","High throughput: efficient ops, shorter transitions","42.95062814505904553200","57.04937185494095446800"
"MD","Maryland","conservative","0.3588472583342109965112","Sustainable","17","0.68","Upper-Mid Quartile","0.97959183673469387644","108.30103238926098600000","110.55730389737059000000","47.139612815033627000","103.385705249987698125","56.246092434954071125","0.54404128983741457674","3.75","Lower throughput: higher complexity/documentation, longer transitions","54.40412898374145767400","45.59587101625854232600"
"MD","Maryland","baseline","0.4766318427199823584667","Sustainable","17","0.68","Upper-Mid Quartile","0.97959183673469387644","108.30103238926098600000","110.55730389737059000000","60.924373515031986750","117.170465949986057875","56.246092434954071125","0.48003643220948345007","4.25","Typical OP PT clinic throughput baseline","48.00364322094834500700","51.99635677905165499300"
"ME","Maine","high","0.5748885857497436290782","Sustainable","18","0.66","Upper-Mid Quartile","0.71074380165289256131","122.68258306752107000000","172.61154129267499400000","71.9754883422356233721375","124.323838841854957250","52.3483504996193338778625","0.4210644634791931695038","4.75","High throughput: efficient ops, shorter transitions","42.1064463479193169503800","57.8935536520806830496200"
"ME","Maine","conservative","0.3558701206613027675245","Sustainable","18","0.66","Upper-Mid Quartile","0.71074380165289256131","122.68258306752107000000","172.61154129267499400000","45.8020485860556323721375","98.150399085674966250","52.3483504996193338778625","0.5333483204069780147048","3.75","Lower throughput: higher complexity/documentation, longer transitions","53.3348320406978014704800","46.6651679593021985295200"
"ME","Maine","baseline","0.4686818195857521643367","Sustainable","18","0.66","Upper-Mid Quartile","0.71074380165289256131","122.68258306752107000000","172.61154129267499400000","58.8887684641456278721375","111.237118963764961750","52.3483504996193338778625","0.4706014591826276600336","4.25","Typical OP PT clinic throughput baseline","47.0601459182627660033600","52.9398540817372339966400"
"MI","Michigan","baseline","0.4059802477164044485272","Sustainable","28","0.46","Lower-Mid Quartile","0.93092105263157894699","112.50109817768097500000","120.84923620500005800000","52.5209642938986222815125","108.683092874859621700","56.1621285809609994184875","0.5167512912576701464825","4.25","Typical OP PT clinic throughput baseline","51.6751291257670146482500","48.3248708742329853517500"
"MI","Michigan","conservative","0.2919617319482760445985","Sustainable","28","0.46","Lower-Mid Quartile","0.93092105263157894699","112.50109817768097500000","120.84923620500005800000","39.7347180733269020815125","95.896846654287901500","56.1621285809609994184875","0.5856514634253594993469","3.75","Lower throughput: higher complexity/documentation, longer transitions","58.5651463425359499346900","41.4348536574640500653100"
"MI","Michigan","high","0.5127461137826708153122","Sustainable","30","0.42","Lower-Mid Quartile","0.93092105263157894699","112.50109817768097500000","120.84923620500005800000","65.3072105144703424815125","121.469339095431341900","56.1621285809609994184875","0.4623564184937048679054","4.75","High throughput: efficient ops, shorter transitions","46.2356418493704867905400","53.7643581506295132094600"
"MN","Minnesota","conservative","0.3906492382122728758640","Sustainable","10","0.82","Top Quartile","0.95839753466872110817","108.11754149749400200000","112.81074667503795400000","50.4733161533682289926750","105.576897920042373000","55.1035817666741440073250","0.5219284033937642362498","3.75","Lower throughput: higher complexity/documentation, longer transitions","52.1928403393764236249800","47.8071596606235763750200"
"MN","Minnesota","high","0.6207895750977017981513","Sustainable","10","0.82","Top Quartile","0.95839753466872110817","108.11754149749400200000","112.81074667503795400000","78.6271555987128617926750","133.730737365387005800","55.1035817666741440073250","0.4120487395213928180919","4.75","High throughput: efficient ops, shorter transitions","41.2048739521392818091900","58.7951260478607181908100"
"MN","Minnesota","baseline","0.5089511614747629669535","Sustainable","10","0.82","Top Quartile","0.95839753466872110817","108.11754149749400200000","112.81074667503795400000","64.5502358760405453926750","119.653817642714689400","55.1035817666741440073250","0.4605250618180272672792","4.25","Typical OP PT clinic throughput baseline","46.0525061818027267279200","53.9474938181972732720800"
